month,gaps,gap_mmsi,presence_hours,observed_equivalent_vessel_days,apparent_fishing_hours,presence_mmsi,fishing_mmsi,gap_mmsi_in_observed_fleet,gaps_in_observed_fleet,gap_mmsi_missing_from_presence,gaps_per_1000_observed_vessel_days,observed_fleet_with_gaps_pct,sar_detections,sar_unmatched,sar_unmatched_pct,sar_coverage_adjusted_density,presence_hours_without_mmsi,effort_hours_without_mmsi,presence_hours_total,apparent_fishing_hours_total,sar_status
2017-01,261,72,184571.0,7690.458333333333,63949.61722222222,550,389,72,261,0,33.9381592991315,13.090909090909092,394.0,204.0,51.776649746192895,,545.0,0,185116.0,63949.61722222222,reported
2017-02,489,182,214113.0,8921.375,95263.48722222222,664,530,180,486,2,54.475907581510704,27.10843373493976,1223.0,581.0,47.50613246116108,,650.0,0,214763.0,95263.48722222222,reported
2017-03,448,191,256600.0,10691.666666666666,133213.75416666668,703,580,191,448,0,41.90179267342167,27.169274537695593,1090.0,758.0,69.54128440366972,,267.0,0,256867.0,133213.75416666668,reported
2017-04,190,98,280653.0,11693.875,168632.41361111111,715,602,98,190,0,16.247822043591196,13.706293706293707,956.0,453.0,47.38493723849373,,764.0,0,281417.0,168632.41361111111,reported
2017-05,152,72,249868.0,10411.166666666666,116039.04111111112,661,546,72,152,0,14.599708646165176,10.892586989409985,935.0,326.0,34.8663101604278,,502.0,0,250370.0,116039.04111111112,reported
2017-06,99,46,188342.0,7847.583333333333,94973.94527777778,437,355,45,98,1,12.487920909834237,10.297482837528605,1136.0,319.0,28.080985915492956,,512.0,0,188854.0,94973.94527777778,reported
2017-07,78,44,200290.0,8345.416666666666,111967.04138888889,423,355,44,78,0,9.346447650906185,10.401891252955082,800.0,260.0,32.5,,979.0,0,201269.0,111967.04138888889,reported
2017-08,98,44,214838.0,8951.583333333334,110633.96333333333,424,359,44,98,0,10.947783911598506,10.377358490566039,980.0,251.0,25.612244897959187,,989.0,0,215827.0,110633.96333333333,reported
2017-09,105,46,212218.0,8842.416666666666,121038.88027777777,447,376,46,105,0,11.874581797962472,10.290827740492169,829.0,251.0,30.27744270205066,,1040.0,0,213258.0,121038.88027777777,reported
2017-10,74,40,217468.0,9061.166666666666,105784.275,498,408,40,74,0,8.166718781613847,8.032128514056225,919.0,324.0,35.2557127312296,,922.0,0,218390.0,105784.275,reported
2017-11,76,34,196934.0,8205.583333333334,69661.10777777778,531,381,34,76,0,9.26198624920024,6.4030131826742,898.0,396.0,44.097995545657014,,566.0,0,197500.0,69661.10777777778,reported
2017-12,161,70,220954.0,9206.416666666666,76383.16777777778,660,456,70,161,0,17.487802891099506,10.606060606060606,829.0,295.0,35.58504221954162,,618.0,0,221572.0,76383.16777777778,reported
2018-01,337,145,310252.0,12927.166666666666,119295.97222222222,803,622,145,337,0,26.069130900042545,18.05728518057285,1248.0,448.0,35.8974358974359,,663.0,0,310915.0,119295.97222222222,reported
2018-02,746,234,334884.0,13953.5,141151.46,854,697,234,746,0,53.46328878059268,27.400468384074944,1372.0,534.0,38.921282798833815,,650.0,0,335534.0,141151.46,reported
2018-03,752,273,380878.0,15869.916666666666,175384.10583333333,870,731,272,751,1,47.322239667295044,31.264367816091955,1227.0,498.0,40.58679706601467,,710.0,0,381588.0,175384.10583333333,reported
2018-04,495,184,355882.0,14828.416666666666,171701.40444444446,881,724,184,495,0,33.381851287786404,20.885357548240634,833.0,348.0,41.77671068427371,,661.0,0,356543.0,171701.40444444446,reported
2018-05,247,93,281812.0,11742.166666666666,112975.60027777778,687,549,93,247,0,21.035300129164124,13.537117903930133,761.0,276.0,36.26806833114323,,649.0,0,282461.0,112975.60027777778,reported
2018-06,124,55,224690.0,9362.083333333334,93301.53166666666,465,378,55,124,0,13.24491521652054,11.827956989247312,815.0,181.0,22.208588957055213,,858.0,0,225548.0,93301.53166666666,reported
2018-07,151,51,238956.0,9956.5,107206.235,464,390,51,151,0,15.165971978104757,10.991379310344827,1032.0,274.0,26.550387596899228,,955.0,0,239911.0,107206.235,reported
2018-08,146,50,255116.0,10629.833333333334,118197.87611111111,479,413,49,144,1,13.546778720268426,10.22964509394572,977.0,216.0,22.10849539406346,,625.0,0,255741.0,118197.87611111111,reported
2018-09,178,59,255799.0,10658.291666666666,126855.07583333334,515,441,59,178,0,16.700612590354144,11.45631067961165,816.0,264.0,32.35294117647059,,1227.0,0,257026.0,126855.07583333334,reported
2018-10,107,43,269266.0,11219.416666666666,123446.83361111111,568,466,43,107,0,9.53703772477773,7.570422535211267,980.0,265.0,27.040816326530614,,1180.0,0,270446.0,123446.83361111111,reported
2018-11,94,35,232381.0,9682.541666666666,90568.86888888889,601,450,35,94,0,9.708194731927309,5.823627287853577,917.0,327.0,35.659760087241004,,1180.0,0,233561.0,90568.86888888889,reported
2018-12,322,98,256586.0,10691.083333333334,75488.07833333334,707,496,98,322,0,30.118556741209574,13.861386138613863,841.0,260.0,30.915576694411417,,913.0,0,257499.0,75488.07833333334,reported
2019-01,354,129,339747.0,14156.125,117975.68166666667,866,651,129,354,0,25.0068433275349,14.89607390300231,1092.0,426.0,39.010989010989015,,819.0,0,340566.0,117975.68166666667,reported
2019-02,872,242,358788.0,14949.5,135244.08666666667,932,762,242,872,0,58.329710023746614,25.9656652360515,1472.0,695.0,47.21467391304348,,786.0,0,359574.0,135244.08666666667,reported
2019-03,779,224,415810.0,17325.416666666668,192041.68694444446,927,790,224,779,0,44.96284360645487,24.163969795037758,1207.0,356.0,29.494614747307374,,915.0,0,416725.0,192041.68694444446,reported
2019-04,336,109,355690.0,14820.416666666666,154571.225,848,683,108,335,1,22.60395288031713,12.735849056603774,1426.0,401.0,28.12061711079944,,968.0,0,356658.0,154571.225,reported
2019-05,312,75,238132.0,9922.166666666666,89958.78472222222,535,383,74,311,1,31.34396049249996,13.831775700934578,642.0,199.0,30.99688473520249,,822.0,0,238954.0,89958.78472222222,reported
2019-06,157,46,227144.0,9464.333333333334,91099.69583333333,454,360,46,157,0,16.58859578065016,10.13215859030837,828.0,224.0,27.053140096618357,,1102.0,0,228246.0,91099.69583333333,reported
2019-07,205,43,256680.0,10695.0,108931.92833333333,506,437,42,204,1,19.074333800841515,8.300395256916996,941.0,272.0,28.905419766206165,,967.0,0,257647.0,108931.92833333333,reported
2019-08,198,60,270996.0,11291.5,121133.775,516,454,59,196,1,17.35818978877917,11.434108527131782,1200.0,304.0,25.333333333333336,,489.0,0,271485.0,121133.775,reported
2019-09,217,53,254238.0,10593.25,111761.59916666667,530,446,52,216,1,20.39034290703986,9.811320754716983,751.0,222.0,29.560585885486017,,286.0,0,254524.0,111761.59916666667,reported
2019-10,147,57,269878.0,11244.916666666666,111750.70416666666,596,487,56,145,1,12.894715389916925,9.395973154362416,1068.0,266.0,24.9063670411985,,1012.0,0,270890.0,111750.70416666666,reported
