month,gaps,gap_mmsi,presence_hours,observed_equivalent_vessel_days,apparent_fishing_hours,presence_mmsi,fishing_mmsi,gap_mmsi_in_observed_fleet,gaps_in_observed_fleet,gap_mmsi_missing_from_presence,gaps_per_1000_observed_vessel_days,observed_fleet_with_gaps_pct,sar_detections,sar_unmatched,sar_unmatched_pct,sar_coverage_adjusted_density,presence_hours_without_mmsi,effort_hours_without_mmsi,presence_hours_total,apparent_fishing_hours_total
2017,2231,400,2636849.0,109868.70833333333,1267540.6941666666,1095,934,397,2227,3,20.26964759832664,36.25570776255708,10989.0,4418.0,40.2038402038402,,8354.0,0,2645203.0,1267540.6941666666
2018,3699,519,3396502.0,141520.91666666666,1455573.0422222223,1276,1115,518,3696,1,26.116280808902804,40.59561128526646,11819.0,3891.0,32.921566968440644,,10271.0,0,3406773.0,1455573.0422222223
2019,3766,435,3452133.0,143838.875,1377146.4608333334,1335,1169,434,3758,1,26.126455730413632,32.50936329588015,11896.0,3822.0,32.128446536650976,,10299.0,0,3462432.0,1377146.4608333334
2020,2866,374,3730882.0,155453.41666666666,1482030.4306798598,1322,1139,371,2856,3,18.37206322794449,28.06354009077156,8670.0,2297.0,26.49365628604383,,15344.0,0,3746226.0,1482030.4306798598
2021,1327,325,4648841.0,193701.70833333334,1812563.2578306983,1516,1324,323,1324,2,6.835252055297223,21.306068601583114,9430.0,2042.0,21.654294803817603,,16782.0,0,4665623.0,1812563.2578306985
2022,1154,273,5048698.0,210362.41666666666,2048581.9476638595,1546,1361,269,1150,4,5.4667559834238455,17.39974126778784,7279.0,1373.0,18.86248111004259,,18292.0,0,5066990.0,2048581.9476638595
2023,1235,318,4983289.0,207637.04166666666,1929269.8658333335,1549,1356,318,1235,0,5.947879001197803,20.529373789541637,5788.0,1098.0,18.970283344851417,,13235.0,0,4996524.0,1929269.8658333335
2024,995,304,4878182.0,203257.58333333334,1851279.4594444444,1557,1361,303,992,1,4.880506713361658,19.460500963391137,6698.0,1118.0,16.691549716333235,,0,0,4878182.0,1851279.4594444444
2025,843,259,4749775.0,197907.29166666666,1845728.9844444445,1606,1434,258,837,1,4.229252964614114,16.064757160647574,5725.0,1463.0,25.554585152838428,,177.0,51.858888888888885,4749952.0,1845780.8433333335
2017-Jan-Aug,1815,354,1789275.0,74553.125,894673.2633333333,926,800,351,1811,3,24.29140294253259,37.904967602591796,7514.0,3152.0,41.94836305562949,,5208.0,0,1794483.0,894673.2633333333
2018-Jan-Aug,2998,467,2382470.0,99269.58333333333,1039214.1855555555,1116,980,466,2995,1,30.17036940654027,41.75627240143369,8265.0,2775.0,33.57531760435572,,5771.0,0,2388241.0,1039214.1855555555
2019-Jan-Aug,3213,407,2462987.0,102624.45833333333,1010956.8641666666,1196,1062,406,3208,1,31.259604699496993,33.94648829431438,8808.0,2877.0,32.66348773841962,,6868.0,0,2469855.0,1010956.8641666666
2020-Jan-Aug,2648,346,2659896.0,110829.0,1111092.0841666667,1158,1021,343,2639,3,23.811457290059458,29.620034542314333,5875.0,1493.0,25.41276595744681,,9518.0,0,2669414.0,1111092.0841666667
2021-Jan-Aug,1050,264,3322584.0,138441.0,1346833.6724593407,1362,1203,262,1047,2,7.5627884802912435,19.23641703377386,6345.0,1394.0,21.970055161544526,,10636.0,0,3333220.0,1346833.6724593407
2022-Jan-Aug,935,223,3772332.0,157180.5,1613851.9591648954,1436,1268,220,932,3,5.9294887088411095,15.32033426183844,5338.0,956.0,17.909329336830275,,12192.0,0,3784524.0,1613851.9591648954
2023-Jan-Aug,1015,274,3665989.0,152749.54166666666,1515870.7055555556,1400,1244,274,1015,0,6.64486445540344,19.57142857142857,3714.0,743.0,20.005385029617663,,7610.0,0,3673599.0,1515870.7055555556
2024-Jan-Aug,716,258,3618049.0,150752.04166666666,1444106.22,1389,1217,257,713,1,4.72962085367003,18.502519798416124,4600.0,726.0,15.782608695652172,,0,0,3618049.0,1444106.22
2025-Jan-Aug,642,221,3419142.0,142464.25,1415291.316388889,1436,1294,220,638,1,4.47831648992642,15.32033426183844,4028.0,955.0,23.709036742800397,,0,0,3419142.0,1415291.316388889
2026-Jan-Aug,773,220,3605360.0,150223.33333333334,1542016.0694444445,1404,1257,218,771,2,5.132358488472718,15.527065527065528,,,,,4352.0,2153.9486111111114,3609712.0,1544170.0180555556
2023-Jan-Jun,812,240,2930905.0,122121.04166666667,1205500.085,1373,1222,240,812,0,6.64914079439627,17.47997086671522,2650.0,572.0,21.58490566037736,,6426.0,0,2937331.0,1205500.085
2024-Jan-Jun,572,216,2896451.0,120685.45833333333,1140950.2447222222,1332,1164,215,569,1,4.714735377881414,16.14114114114114,3241.0,545.0,16.81579759333539,,0,0,2896451.0,1140950.2447222222
2025-Jan-Jun,494,188,2792988.0,116374.5,1165994.5258333334,1342,1169,188,494,0,4.244916197276895,14.008941877794337,3232.0,776.0,24.00990099009901,,0,0,2792988.0,1165994.5258333334
2026-Jan-Jun,623,191,2882259.0,120094.125,1235063.3561111111,1380,1243,191,623,0,5.187597644764055,13.840579710144926,2556.0,852.0,33.33333333333333,,3719.0,1811.2952777777778,2885978.0,1236874.651388889
