mmsi,month,hours,has_regional_gap_in_dataset
701006060,2017-10,729.0,True
770576149,2017-09,100.0,False
701000706,2017-10,197.0,True
701000770,2017-11,696.0,False
701000919,2017-08,642.0,True
701000742,2017-11,308.0,True
701000691,2017-03,202.0,True
701000597,2017-04,524.0,True
701000539,2017-12,546.0,True
412439757,2017-12,43.0,True
701006139,2017-02,270.0,True
701000662,2017-08,549.0,True
770576096,2017-06,36.0,False
412329652,2017-01,38.0,True
224421000,2017-04,1.0,True
701097000,2017-09,656.0,False
701006614,2017-12,8.0,False
701042000,2017-10,738.0,True
701006341,2017-02,622.0,True
701007026,2017-07,720.0,True
701006044,2017-11,11.0,True
701000689,2017-05,1.0,False
701000925,2017-01,590.0,False
701006069,2017-05,350.0,False
701000928,2017-10,345.0,False
470140810,2017-06,394.0,False
701037000,2017-11,667.0,True
701000743,2017-04,490.0,True
701000583,2017-12,678.0,True
770576151,2017-08,11.0,False
701000558,2017-01,729.0,True
701000529,2017-07,741.0,True
701006058,2017-09,712.0,False
701000663,2017-09,76.0,True
701000878,2017-05,704.0,True
412420912,2017-12,46.0,True
701007036,2017-12,424.0,True
701068000,2017-02,655.0,True
412420935,2017-03,2.0,True
701000879,2017-12,37.0,False
701000617,2017-07,715.0,True
701006071,2017-04,644.0,True
412329463,2017-01,38.0,True
701000822,2017-10,132.0,False
701000949,2017-09,567.0,True
701030000,2017-11,480.0,True
701000512,2017-08,439.0,False
412421068,2017-12,31.0,True
701112000,2017-08,518.0,False
701000528,2017-11,670.0,True
701000745,2017-07,742.0,True
701536000,2017-08,744.0,True
770576112,2017-06,8.0,False
770576119,2017-10,90.0,False
701000662,2017-10,513.0,True
701000899,2017-12,744.0,True
701000919,2017-10,645.0,True
701000742,2017-09,709.0,True
701006060,2017-08,705.0,True
701000803,2017-04,695.0,True
770576149,2017-11,66.0,False
701042000,2017-08,742.0,True
701000547,2017-02,486.0,True
701000717,2017-05,302.0,True
701097000,2017-11,11.0,False
701006062,2017-12,739.0,True
770576123,2017-04,123.0,False
701000822,2017-08,51.0,False
701000949,2017-11,263.0,True
440755000,2017-05,31.0,True
701015000,2017-02,444.0,True
701000687,2017-04,250.0,True
770576119,2017-08,160.0,False
701000652,2017-12,743.0,True
701006735,2017-07,744.0,True
701536000,2017-10,743.0,True
770576142,2017-05,90.0,False
701000528,2017-09,592.0,True
701000677,2017-07,5.0,False
701000830,2017-05,732.0,True
701007038,2017-03,652.0,False
701006056,2017-12,743.0,True
701037000,2017-09,627.0,True
701006300,2017-06,704.0,False
470100527,2017-10,101.0,False
701000856,2017-03,82.0,True
701000962,2017-04,601.0,True
725001619,2017-12,30.0,False
701006044,2017-09,15.0,True
701000882,2017-12,275.0,True
701078000,2017-06,530.0,False
701006058,2017-11,372.0,False
701000857,2017-06,674.0,True
701000765,2017-04,373.0,True
701006151,2017-06,165.0,True
701006182,2017-03,267.0,True
701000735,2017-03,654.0,True
770576160,2017-07,305.0,False
701000553,2017-11,612.0,False
701006073,2017-04,544.0,True
224701000,2017-12,1.0,True
701006038,2017-10,654.0,False
701000816,2017-11,662.0,True
701031000,2017-08,651.0,True
770576134,2017-05,20.0,True
701000870,2017-12,292.0,True
701000570,2017-11,291.0,True
701000660,2017-08,711.0,False
701000959,2017-04,380.0,True
701007014,2017-09,346.0,True
770576146,2017-11,35.0,False
701007011,2017-08,743.0,True
701000506,2017-01,180.0,False
701006140,2017-01,556.0,True
701006046,2017-04,498.0,True
412439756,2017-12,46.0,False
770576113,2017-06,221.0,False
701066000,2017-11,150.0,False
701006003,2017-08,737.0,False
701527000,2017-07,94.0,False
770576184,2017-10,262.0,False
701000684,2017-04,311.0,True
701000619,2017-11,135.0,False
701000927,2017-02,397.0,True
701000674,2017-05,282.0,False
701000869,2017-06,704.0,True
701007040,2017-09,543.0,True
701023000,2017-09,434.0,True
701006133,2017-03,355.0,True
701006084,2017-11,706.0,True
701006020,2017-07,569.0,True
701006044,2017-01,718.0,True
701006568,2017-04,647.0,True
701006183,2017-05,219.0,False
701066000,2017-09,476.0,False
412420576,2017-12,23.0,True
770576184,2017-08,274.0,False
701006003,2017-10,737.0,False
701000666,2017-05,738.0,True
701000759,2017-10,578.0,True
701024000,2017-04,720.0,True
701038000,2017-05,227.0,True
701006084,2017-09,464.0,True
701007040,2017-11,606.0,True
701006143,2017-03,214.0,True
701000942,2017-11,676.0,False
701000619,2017-09,540.0,False
701006471,2017-10,736.0,True
440100000,2017-03,37.0,True
770005708,2017-10,26.0,False
701000819,2017-06,696.0,True
701000596,2017-08,167.0,True
701000928,2017-08,4.0,False
701000628,2017-02,669.0,True
701000710,2017-01,509.0,False
701000591,2017-11,395.0,True
701000849,2017-01,619.0,True
701404100,2017-12,731.0,False
441050000,2017-03,1.0,True
701006582,2017-12,35.0,True
701006007,2017-10,600.0,True
701006086,2017-12,739.0,False
