mmsi,name,year,gaps,flags,either_endpoint_inside_eez
412326888,HAI XING 1,2017,8,CHN,0
412326888,HAI XING 1,2018,2,CHN,0
412326888,HAI XING 1,2019,3,CHN,0
412326888,HAI XING 1,2020,12,CHN,0
412329689,LU QING YUAN YU 208,2017,43,CHN,0
412329689,LU QING YUAN YU 208,2018,45,CHN,0
412329689,LU QING YUAN YU 208,2019,93,CHN,0
412329689,LU QING YUAN YU 208,2020,17,CHN,0
412329689,LU QING YUAN YU 208,2021,1,CHN,0
412329689,LU QING YUAN YU 208,2022,1,CHN,0
224754000,PLAYA DE GALICIA,2017,18,ESP,0
224754000,PLAYA DE GALICIA,2018,25,ESP,0
224754000,PLAYA DE GALICIA,2019,27,ESP,0
224754000,PLAYA DE GALICIA,2020,40,ESP,0
224754000,PLAYA DE GALICIA,2021,14,ESP,0
224754000,PLAYA DE GALICIA,2022,33,ESP,0
224754000,PLAYA DE GALICIA,2023,17,ESP,0
224754000,PLAYA DE GALICIA,2024,4,ESP,0
224754000,PLAYA DE GALICIA,2025,1,ESP,0
224754000,PLAYA DE GALICIA,2026,9,ESP,0
224567000,PATRICIA NORES,2017,28,ESP,0
224567000,PATRICIA NORES,2018,10,ESP,0
224567000,PATRICIA NORES,2019,32,ESP,0
224567000,PATRICIA NORES,2020,16,ESP,0
224567000,PATRICIA NORES,2021,50,ESP,0
224567000,PATRICIA NORES,2022,21,ESP,0
224567000,PATRICIA NORES,2023,3,ESP,0
412331174,LURONGYUANYU178,2017,4,CHN,0
412331174,LURONGYUANYU178,2018,2,CHN,0
412331174,LURONGYUANYU178,2019,6,CHN,0
412331035,LU YAN YUAN YU 007,2017,2,CHN,0
412331035,LU YAN YUAN YU 007,2018,1,CHN,0
412331035,LU YAN YUAN YU 007,2021,1,CHN,0
440528000,PRATIDINA NO.28,2017,7,KOR,0
440528000,PRATIDINA NO.28,2018,21,KOR,0
440528000,PRATIDINA NO.28,2019,54,KOR,0
440528000,PRATIDINA NO.28,2020,30,KOR,0
440528000,PRATIDINA NO.28,2026,1,KOR,0
224820000,VILLA NORES,2017,24,ESP,0
224820000,VILLA NORES,2018,18,ESP,0
224820000,VILLA NORES,2019,69,ESP,0
224820000,VILLA NORES,2020,37,ESP,0
224820000,VILLA NORES,2021,20,ESP,0
440191000,AGNES5,2017,38,KOR,0
440191000,AGNES5,2018,37,KOR,0
