area,month,events,vessels,medianHours,over30days,partial
global,2017-01,1327,683,22.5,41,False
global,2017-02,1313,662,24.5,34,False
global,2017-03,1481,820,21.2,42,False
global,2017-04,1163,681,22.0,32,False
global,2017-05,1179,671,24.4,34,False
global,2017-06,1295,716,24.3,55,False
global,2017-07,1598,777,22.6,58,False
global,2017-08,1734,720,22.9,40,False
global,2017-09,1728,733,28.7,47,False
global,2017-10,1729,828,32.1,53,False
global,2017-11,1490,747,23.8,43,False
global,2017-12,1167,629,25.6,35,False
global,2018-01,1427,751,25.7,36,False
global,2018-02,1945,869,22.1,62,False
global,2018-03,2266,1127,22.4,46,False
global,2018-04,1894,997,21.1,52,False
global,2018-05,1736,833,26.8,58,False
global,2018-06,1569,807,27.3,56,False
global,2018-07,2137,904,21.1,54,False
global,2018-08,2350,897,20.8,72,False
global,2018-09,2121,844,22.9,56,False
global,2018-10,2343,966,23.5,47,False
global,2018-11,1891,856,23.8,38,False
global,2018-12,1567,799,24.7,51,False
global,2019-01,1613,804,24.3,57,False
global,2019-02,2084,894,22.5,67,False
global,2019-03,2090,928,23.8,69,False
global,2019-04,1715,856,24.6,48,False
global,2019-05,1774,912,22.6,53,False
global,2019-06,1790,925,26.4,61,False
global,2019-07,2504,937,22.9,54,False
global,2019-08,1929,906,28.6,52,False
global,2019-09,2258,909,23.2,72,False
global,2019-10,2416,982,23.9,50,False
global,2019-11,2080,982,24.5,58,False
global,2019-12,1606,825,25.3,48,False
global,2020-01,1984,922,26.8,45,False
global,2020-02,2266,1034,24.7,58,False
global,2020-03,2202,1033,25.8,69,False
global,2020-04,2281,987,24.7,67,False
global,2020-05,1856,977,25.7,54,False
global,2020-06,1847,980,27.2,67,False
global,2020-07,2072,1031,26.3,49,False
global,2020-08,2235,1048,23.5,45,False
global,2020-09,2715,1064,20.4,52,False
global,2020-10,2709,1054,24.2,47,False
global,2020-11,2420,989,21.7,58,False
global,2020-12,1813,911,25.3,60,False
global,2021-01,1739,888,27.5,59,False
global,2021-02,1759,899,28.2,45,False
global,2021-03,2182,1022,24.9,49,False
global,2021-04,2031,994,26.1,58,False
global,2021-05,1998,952,25.4,58,False
global,2021-06,1908,952,28.8,73,False
global,2021-07,2226,1019,24.9,68,False
global,2021-08,2585,1047,20.6,74,False
global,2021-09,2878,1082,22.1,81,False
global,2021-10,2795,1078,25.1,67,False
global,2021-11,2397,1065,24.9,71,False
global,2021-12,1665,889,27.7,63,False
global,2022-01,1651,909,23.6,71,False
global,2022-02,1685,903,24.4,46,False
global,2022-03,1954,940,25.6,52,False
global,2022-04,1940,956,26.8,78,False
global,2022-05,1944,1007,26.1,84,False
global,2022-06,1986,996,27.9,88,False
global,2022-07,2392,1061,23.4,86,False
global,2022-08,2817,1038,19.2,67,False
global,2022-09,2895,1078,21.7,85,False
